id,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,pct_change,changea,change
1,10/15/2012,632.35,635.13,623.85,634.76,15446500,0,1,81.61272569,81.97151968,80.51569372,81.92376652,108125500,0,0.4,1.4
2,10/17/2012,648.87,652.79,644,644.6136,13894200,0,1,83.7448396,84.25076493,83.11630481,83.19549761,97259400,0.021295684,2.12956842,3.12956842
3,10/18/2012,639.59,642.06,630,632.64,17022300,0,1,82.54713881,82.86592339,81.30942862,81.65015384,119156100,-0.014301786,-1.430178618,-0.430178618
4,11/7/2012,573.835,574.54,555.75,558.0019,28344600,2.65,1,74.41234895,74.50377019,72.06716727,72.35918356,198412200,-0.027777307,-2.777730715,-1.777730715
5,11/29/2012,590.215,594.25,585.25,589.36,18382100,0,1,76.53643388,77.05967458,75.89259495,76.42556131,128674700,0.022424515,2.242451539,3.242451539
6,12/4/2012,581.8,581.8,572.13,575.8454,19895300,0,1,75.44521442,75.44521442,74.1912522,74.6730486,139267100,-0.019961257,-1.996125663,-0.996125663
7,12/5/2012,568.91,569.25,538.77,538.7923,37308500,0,1,73.77369704,73.81778671,69.86527703,69.86816879,261159500,-0.02215538,-2.215537986,-1.215537986
8,12/14/2012,514.75,518.132,505.58,509.794,36056400,0,1,66.75047117,67.18903376,65.5613467,66.10779932,252394800,-0.0308764,-3.087640026,-2.087640026
9,12/20/2012,530,530.2,518.88,521.7302,17203200,0,1,68.72802276,68.75395787,67.28603104,67.65563219,120422400,-0.002765913,-0.276591341,0.723408659
10,1/7/2013,522,529.3,515.2,523.9,17291300,0,1,67.69061865,68.6372499,66.80882515,67.93700213,121039100,-0.0278696,-2.786960044,-1.786960044
11,1/10/2013,528.55,528.72,515.52,523.51,21469500,0,1,68.53999327,68.56203811,66.85032131,67.88642867,150286500,0.011578947,1.157894737,2.157894737
12,1/15/2013,498.3,498.99,483.38,485.92,31313300,0,1,64.61730895,64.70678506,62.68255027,63.01192608,219193100,-0.008713297,-0.871329673,0.128670327
